steam_id,review,voted_up
76561198066184692,Survived a Deerclop raid Killed by a random frog.........      10frograin/10,True
76561198101781146,"Don't Starve is back is more fun than ever!   Here are the positives:  -Now you get to die with your friends!  -You can get murdered by your 'Friends'!  GREAT GAME      DORITO+MTN DEW/9,000  P.S. You can also be haunted by your friend and die of insanity! Well, you can be with your friend when you die... so it's ok!",True
76561198041162914,Favorite survival game. I almost won it once... but then I starved to death.,True
76561198056008417,"Easily the most enjoyable game I have ever played. Each time you start a new world you make it slightly further than you did the last time only to die to a new aspect that you never knew before. Takes several times to get a mechanic, but once you do the you can finally start learning the other aspects of the game such as crafting and fighting. Playing with friends makes the game 1000x more enjoyable. This game is a deal breaker I see potential in losing friends over this game :p 11/10 would recommend",True
76561198143487092,Great for a group of kids to work together and gives something new besides minecraft its fun for the whole family.,True
76561198267673376,Amazing game!,True
76561198063354493,"Possibly the BEST multiplayer experience I have enjoyed since I first played Team Fortress 2. 10/10 would reccommend to ANY player, even those who haven't played Don't Starve prior.",True
76561198144052981,AWESOME,True
76561198090077941,"0/10- IGN  ""NO CASE OPENING!!""",True
76561198173731193,I love playing with friends whenever i get the chance.,True
76561198089057394,we starved... 10/10 would starve again,True
76561198108719992,"The best food-based cartoonish survival game is now multiplayer?! I know, hard to believe. But it's true, its really out there for you to starve with your friends. Enjoy going insane, murdering giant cows, harvesting manure, and of course starving, now with an online companion of your choice! You don't know what you're doing? That's alright too! Statistics show that 99% of 1% of Don't Starve Together players don't know what they're doing or why they're doing it. So join the crowd, grab those flowers, and most importantly, Don't Starve!",True
76561198150245772,This is an amazing game and I would definitely recommend it if you have friends to play it with!,True
76561197996542764,This game is so hard that it makes me rock hard. 10/10 would rock hard again.,True
76561198069228689,Gather many resources and thrive with epic base  rain of frogs everywhere  get rekt by pepe  feels bad man  4.20/4.20 would play again,True
76561198203353442,"Don't starve together is a single or multiplayer survival game with a neat graphical style and gameplay.  You can build a home base, food and material farms, traps for mobs trying to kill you, clothes to help you survive summer and winter among many other nifty things!  Seasons have different effects on your world such as different mobs acting based on the current seasons, in summer wild fires can occur but fear not as you can protect your base by building ice throwing machines!  Mine rocks for ore for your base and tools but beware meteor fields! One hit and you're dead...  The fun is doubled in multiplayer mode with friends as many crazy things tend to happen... Trust me on this one!  Overall a very recommended purchase you will (most likely) not regret!  Also: Exterminate beefalo herds with traps and be the bad boy!  Update: Continuous content updates and events are what makes this game fun to play with friends even after a long time of having been bought! Thanks klei!",True
76561198278971807,"Amazing. just amazing! youve taken dont starve, and made it multiplayer- and with workshop no less! thanks, devs!",True
76561198090336781,Hint: Starvings the least of your worries,True
76561198128359543,"I genereally hate early access game, because they are unfinished and demand bucks. And generally will not have any major improvement and just died.  But this, is a titled ""Earlly Access Game"" but actually very well developed/designed/completed game.  A 2D cute anime style survival game, very unique in it's gene, a must recommand.",True
76561197999626299,After some time you get used to became a ghost...,True
76561198150514674,Its a fun game once you get in to it. At first its sorta hard to play unless you get a good spawn location. But after playing for a while you get an understanding on what is priority. But the main part is seeing how far you can get with your friends and see what you can acomplish.,True
76561198043857808,Having a lot of fun playing with my gf and she doesn't even play video games. After changing some settings to make it more realistic and less bs and downloading some mods it has been great.,True
76561198024765238,"I am so god aweful at this game, but I love the hell out of it.",True
76561198197600823,my gf and me enjoy playing this game. Best game ever so far.,True
76561197991149080,This game is absoloutly amazing.,True
76561198175688375,"So, my second world through. I end up going mentally insane, freaking myself out, then shortly after, starve to death. 10/10 This game sucks.",True
76561198043445289,"i tried really hard to find something bad about this game.. i failed ! dont starve was a great game, and now with a multiplayer it became perfect  if you love to spend lot of time with your friends, this is the right game for ya   BUT !!!! (some characters are not in the game yet, but they will be soon.) you can get them all from the workshop though except woodie he is not there yet",True
76561198202142466,doggo does a yes,True
76561198131695894,"love this game so much, but the only thing i don't like is that you can not play as Woody and he is my favorite character ",True
76561198158782634,A very banterliscous game to play with your friends  9/10,True
76561197984544538,great game!,True
76561198065834139,Summer sucks and the frogs are assholes. 10/10 would get heat stroke again,True
76561198122240880,Good game,True
76561198179140530,good game,True
76561198055891175,"I had a lot of fun playing this one with my friends. It can be completely unforgiving when you die (the default setting for servers is game over once everyone dies) or you can set it to be resurrected by clicking on the portal (endless). You can run around collecting things and trying not to die. The customization of how many of everything spawns in a server determines how easy or hard the game is and makes for good balance based on player experience level. The developers are consistently working on new DLC and content so it's worth coming back to. There's plenty of enemies to fight and things to build. There's seasons with different challenges to overcome (winter requires warm clothing, summer requires things to cool you off, etc). Mods are easy to implement into the game and keep the replayability high. Overall, a pretty decent game to play by yourself or with a bunch of friends.",True
76561198242216846,Very fun with others and all the intenseness of the game with others make the original 10xs better with mods it gets crazy and justa lla round great game,True
76561198044875672,Fun to play with your friends!,True
76561198259330546,good!,True
76561198135524291,"Omg I recommed this game so much! Its so fun to play with friends and family! I'd say its a perfect game. The only problems are some of the user created mods/characters. Some people have created characters but have caused an error for the game in which it does NOT allow you to start up the server. But they tried to comprhend that with a bolt in the corner, meaning that the mod needs fixing or is going to change up your game. Overall I'd give it a 9.8/10.0",True
76561198044103803,"This is a great game! When I first got it (and the single player version as well) I could not stop playing it was just so much fun and i was so determned to make is past day 20.  I also like that you cna host a server and still play buy yourself so if you can't get the original game you can tide yourself over that way. Playing with people online can be great or hectic, they can help you or kill you but it's all fun and I highly recommend getting and playing this game and convincing your friends to do the same!",True
76561198161771940,cool game :),True
76561198217858917,Beast GaMe) I Live  her,True
76561198044483359,"I have never played Don't Starve before I got 4 copies of this game for me and my friends, though they haven't fallen in love with it as much as i have.  The game starts you off with nothing forcing you to collect everything to build tools and other things. Its a pretty hard game at first surving a few weeks is a huge challenge as you learn more about the game the way you play improves and you last longer each time. Its amazing to get on and have your own adventure with friends or people you have never met just beware of the willow trolls. Overall i'd say this game is pretty amazing however there are a few lag and bug issues that will probably be fixed over the next few updates I'd say its a great experience for anyone who likes survival games.",True
76561198136798867,Great.,True
76561198123533377,heck ya ,True
76561198046087326,10/10 -ign  Died with 2 friends on day 40... One died to raining frogs from the rain I was struck by lightning during the rain Other one went insane and died to rain Moose Goose died to frogs from the rain  tl;dr fuck the rain ,True
76561198286544203,"Much more fun than I anticipated. I bought the Don't Starve pack a few weeks before my friends asked me to join a game. I decided that I might as well, seeing as it would be good tutorial for me, and hey, I got to spend time with my friends.  Little did I know that the experience was going to become a gateway drug. Ever since, I've been so interested in the characters, the story, the function, the play experience... It sucked me right in, and it's such an immersive experience with quirky characters and equally terrifying mobs.  The Klei Development team themselves seem to be active in he community, on their forums, at least, actively working on updates and bugs, should one ever come up.  The only thing I might add is that... perhaps a DST rendition of Adventure Mode could be added for additional challenge. I can see that being loads of fun. And perhaps more story to reveal?",True
76561198262381347,Get REKT fast but still awsome to PLAY!,True
76561198019053517,"one time a dude in my server told me to make a new one in a very precise way and instead of listening to him i made the server nothing but tumbleweeds. I mean like no trees, no rocks, nothing. just tumbleweed. he got upset and left. i survived for 4 days.",True
76561198105885255,More The Fear More The Fun :D,True
76561198109232540,i always can not log in,True
76561198289443167,ALL BUY,True
76561198082467676,good game,True
76561198194215930,"First time experience from day 1-10  Day 1: Played with a friend, gathered wood and other resources and survived day 1  Day 2: We did the same thing we did as day one  Day 3: Built quite a bit of things and our main food source is berries and cooked carrots  Day 4: Improved our defenses and built better tools  Day 5: We went exploring and we forgot which direction are crib was at  Day 6: Sanitation 66%, health 24% barely survived the night  Day 7: Made our way back home and improved our crib  Day 8: Did what we did in day 1  Day 9: Got lost again  Day 10: Died by 9 dozens of spiders  Definitely 100000/10",True
